INFO  - 2017-03-31 07:41:40.114; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr-4.10.4/example/solr/lib/lucene-analyzers-stempel-4.10.1.jar' to classloader
INFO  - 2017-03-31 07:41:40.115; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr-4.10.4/example/solr/lib/simple-xml-2.7.jar' to classloader
INFO  - 2017-03-31 07:41:40.115; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr-4.10.4/example/solr/lib/morfologik-stemming-1.7.1.jar' to classloader
INFO  - 2017-03-31 07:41:40.115; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr-4.10.4/example/solr/lib/langdetect-1.1-20120112.jar' to classloader
INFO  - 2017-03-31 07:41:40.115; org.apache.solr.core.SolrResourceLoader; Adding 'file:/opt/solr-4.10.4/example/solr/lib/jackson-core-asl-1.9.13.jar' to classloader
INFO  - 2017-03-31 07:41:40.399; org.apache.solr.core.ConfigSolr; Loading container configuration from /opt/solr-4.10.4/example/solr/solr.xml
INFO  - 2017-03-31 07:41:40.585; org.apache.solr.core.CoreContainer; New CoreContainer 899543194
INFO  - 2017-03-31 07:41:40.587; org.apache.solr.core.CoreContainer; Loading cores into CoreContainer [instanceDir=/opt/solr-4.10.4/example/solr/]
INFO  - 2017-03-31 07:41:40.597; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting socketTimeout to: 0
INFO  - 2017-03-31 07:41:40.598; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting urlScheme to: null
INFO  - 2017-03-31 07:41:40.598; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting connTimeout to: 0
INFO  - 2017-03-31 07:41:40.598; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxConnectionsPerHost to: 20
INFO  - 2017-03-31 07:41:40.599; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting corePoolSize to: 0
INFO  - 2017-03-31 07:41:40.599; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maximumPoolSize to: 2147483647
INFO  - 2017-03-31 07:41:40.600; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting maxThreadIdleTime to: 5
INFO  - 2017-03-31 07:41:40.600; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting sizeOfQueue to: -1
INFO  - 2017-03-31 07:41:40.600; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting fairnessPolicy to: false
INFO  - 2017-03-31 07:41:40.600; org.apache.solr.handler.component.HttpShardHandlerFactory; Setting useRetries to: false
INFO  - 2017-03-31 07:41:40.987; org.apache.solr.update.UpdateShardHandler; Creating UpdateShardHandler HTTP client with params: socketTimeout=0&connTimeout=0&retry=true
INFO  - 2017-03-31 07:41:40.989; org.apache.solr.logging.LogWatcher; SLF4J impl is org.slf4j.impl.Log4jLoggerFactory
INFO  - 2017-03-31 07:41:40.990; org.apache.solr.logging.LogWatcher; Registering Log Listener [Log4j (org.slf4j.impl.Log4jLoggerFactory)]
INFO  - 2017-03-31 07:41:40.991; org.apache.solr.core.CoreContainer; Host Name: null
INFO  - 2017-03-31 07:41:41.056; org.apache.solr.core.SolrResourceLoader; new SolrResourceLoader for directory: '/opt/solr-4.10.4/example/solr/ezp-default/'
INFO  - 2017-03-31 07:41:41.270; org.apache.solr.update.SolrIndexConfig; IndexWriter infoStream solr logging is enabled
INFO  - 2017-03-31 07:41:41.280; org.apache.solr.core.SolrConfig; Using Lucene MatchVersion: 4.10.1
INFO  - 2017-03-31 07:41:41.494; org.apache.solr.core.SolrConfig; Loaded SolrConfig: solrconfig.xml
INFO  - 2017-03-31 07:41:41.515; org.apache.solr.schema.IndexSchema; Reading Solr Schema from /opt/solr-4.10.4/example/solr/ezp-default/conf/schema.xml
INFO  - 2017-03-31 07:41:41.605; org.apache.solr.schema.IndexSchema; [ezp-default] Schema name=ezfind
INFO  - 2017-03-31 07:41:42.542; org.apache.solr.schema.IndexSchema; default search field in schema is ezf_df_text
INFO  - 2017-03-31 07:41:42.543; org.apache.solr.schema.IndexSchema; query parser default operator is OR
INFO  - 2017-03-31 07:41:42.544; org.apache.solr.schema.IndexSchema; unique key field: meta_guid_ms
INFO  - 2017-03-31 07:41:42.716; org.apache.solr.core.CoreContainer; Creating SolrCore 'ezp-default' using configuration from instancedir /opt/solr-4.10.4/example/solr/ezp-default/
INFO  - 2017-03-31 07:41:42.737; org.apache.solr.core.SolrCore; solr.NRTCachingDirectoryFactory
INFO  - 2017-03-31 07:41:42.743; org.apache.solr.core.SolrCore; [ezp-default] Opening new SolrCore at /opt/solr-4.10.4/example/solr/ezp-default/, dataDir=/opt/solr-4.10.4/example/solr/ezp-default/data/
INFO  - 2017-03-31 07:41:42.745; org.apache.solr.core.JmxMonitoredMap; JMX monitoring is enabled. Adding Solr mbeans to JMX Server: com.sun.jmx.mbeanserver.JmxMBeanServer@6f94fa3e
